ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
C09AA02,"Berlin-Chemie AG, Германия",Enalapril,"таблетки 20мг в блистерах в упаковке №10х3, №10х5, №10х10",Enalapril,"https://rceth.by//NDfiles/instr/5624_02_07_12_17_20_s.pdf,https://rceth.by//NDfiles/instr/5624_02_07_12_17_20_p.pdf","Berlin-Chemie AG, Германия",5624/02/07/12/17/20,генерик,по рецепту,25.09.2017,,3 года,БЕРЛИПРИЛ 20,бессрочно
R03AC04,"Boehringer Ingelheim International GmbH, Германия",Fenoterol,аэрозоль дозированный для ингаляций 100мкг/доза во флаконах 10мл (200 доз) в упаковке №1,Fenoterol,"https://rceth.by//NDfiles/instr/1126_95_2000_05_05_10_15_16_17_20_s.pdf,https://rceth.by//NDfiles/instr/1126_95_2000_05_05_10_15_16_17_20_p.pdf","Boehringer Ingelheim Pharma GmbH & Co. KG, Германия",1126/95/2000/05/05/10/15/16/17/20,оригинальное,по рецепту,22.06.2020,,3 года,БЕРОТЕК Н,бессрочно
B02BD02,"CSL Behring GmbH, Германия",Coagulation factor VIII,"лиофилизат для приготовления раствора для внутривенного введения 1000МЕ во флаконах в комплекте с растворителем (вода для инъекций во флаконах 10мл), устройством для добавления растворителя со встроенным фильтром в блистере в упаковке №1 и комплектом для внутривенного введения (1 одноразовый шприц, 1 игла-бабочка, 2 дезинфицирующих салфетки, нестерильный пластырь) в упаковке №1,лиофилизат для приготовления раствора для внутривенного введения 250МЕ во флаконах в комплекте с растворителем (вода для инъекций во флаконах 2,5мл), устройством для добавления растворителя со встроенным фильтром в блистере в упаковке  №1 и комплектом для внутривенного введения (1 одноразовый шприц, 1 игла-бабочка, 2 дезинфицирующих салфетки, нестерильный пластырь) в упаковке №1,лиофилизат для приготовления раствора для внутривенного введения 500МЕ во флаконах в комплекте с растворителем (вода для инъекций во флаконах 5мл), устройством для добавления растворителя со встроенным фильтром в блистере в упаковке №1 и комплектом для внутривенного введения (1 одноразовый шприц, 1 игла-бабочка, 2 дезинфицирующих салфетки, нестерильный пластырь) в упаковке №1",Coagulation factor VIII,https://rceth.by//NDfiles/instr/9542_11_15_16_19_i.pdf,"CSL Behring GmbH, Германия",9542/11/15/16/19,оригинальное,по рецепту,04.04.2016,,3 года,БЕРИАТЕ,бессрочно
G04BX,"БелАсептика ЗАО, Республика Беларусь",Other urologicals,цельное сырье  100г в пачке,Other urologicals,"https://rceth.by//NDfiles/instr/19_05_1569_p.pdf,https://rceth.by//NDfiles/instr/19_05_1569_s.pdf","БелАсептика ЗАО, Республика Беларусь",19/05/1569,генерик,без рецепта,23.05.2019,,2 года,БЕРЕЗЫ ПОЧКИ,бессрочно
C09AA02,"Berlin-Chemie AG, Германия",Enalapril,"таблетки 5мг в блистерах в упаковке №10х3, №10х5, №10х10",Enalapril,"https://rceth.by//NDfiles/instr/9094_09_15_19_20_s.pdf,https://rceth.by//NDfiles/instr/9094_09_15_19_20_p.pdf","Berlin-Chemie AG, Германия/ Menarini-Von Heyden GmbH, Германия",9094/09/15/19/20,генерик,по рецепту,16.09.2020,,3 года,БЕРЛИПРИЛ 5,бессрочно
G04BX,"БИОТЕСТ НПК ООО, Республика Беларусь",Other urologicals,цельное сырье  100г в пачке,Other urologicals,"https://rceth.by//NDfiles/instr/16_10_1076_p.pdf,https://rceth.by//NDfiles/instr/16_10_1076_s.pdf","БИОТЕСТ НПК ООО, Республика Беларусь",16/10/1076,генерик,без рецепта,12.10.2016,,2 года,БЕРЕЗЫ ПОЧКИ,бессрочно
G04BX,"Калина ООО, Республика Беларусь",Other urologicals,"измельченное сырье  50г, 100г в пачке",Other urologicals,"https://rceth.by//NDfiles/instr/17_12_2003_p.pdf,https://rceth.by//NDfiles/instr/17_12_2003_s.pdf","Калина ООО, Республика Беларусь",17/12/2003,генерик,без рецепта,19.12.2017,,3 года,БЕРЕЗЫ ЛИСТЬЯ,бессрочно
D08AC52,"Bayer Consumer Care AG, Швейцария","Chlorhexidine, combinations",крем для наружного применения (50мг+5мг)/г в тубах 30г в упаковке №1,"Chlorhexidine, combinations","https://rceth.by//NDfiles/instr/9729_11_16_s.pdf,https://rceth.by//NDfiles/instr/9729_11_16_p.pdf","Bayer Consumer Care AG, Швейцария  manufactured by  GP Grenzach Produktions GmbH, Германия",9729/11/16,генерик,без рецепта,07.09.2016,,3 года,БЕПАНТЕН ПЛЮС,бессрочно
D03AX03,"Bayer Consumer Care AG, Швейцария",Dexpanthenol,"крем для наружного применения 50мг/г в тубах 100г в упаковке №1,крем для наружного применения 50мг/г в тубах 30г в упаковке №1",Dexpanthenol,"https://rceth.by//NDfiles/instr/9831_95_02_06_11_16_s.pdf,https://rceth.by//NDfiles/instr/9831_95_02_06_11_16_p.pdf","Bayer Consumer Care AG, Швейцария  manufactured by  GP Grenzach Produktions GmbH, Германия",9831/95/02/06/11/16,генерик,без рецепта,08.11.2016,,3 года,БЕПАНТЕН,бессрочно
,"Фармтехнология ООО, Республика Беларусь",Betamethasone,субстанция,Betamethasone,,"Farmabios S.p.A., Италия",2510/19,не определено,,31.10.2019,,5 лет,БЕТАМЕТАЗОНА ДИПРОПИОНАТ МИКРОНИЗИРОВАННЫЙ,бессрочно
G04BX,"Падис`C ООО, Республика Беларусь",Betula pendula Roth,цельное сырье   50г в пачке,Betula pendula Roth,"https://rceth.by//NDfiles/instr/16_11_1898_p.pdf,https://rceth.by//NDfiles/instr/16_11_1898_s.pdf","Падис`C ООО, Республика Беларусь",16/11/1898,генерик,без рецепта,04.11.2016,,2 года,БЕРЕЗЫ ПОЧКИ,бессрочно
,"Мед-интерпласт Иностранное производственное унитарное предприятие, Республика Беларусь",Benserazide,субстанция,Benserazide,,"CHEMOSWED AB, Швеция",2188/16,генерик,,14.11.2016,,2 года,БЕНСЕРАЗИДА ГИДРОХЛОРИД,бессрочно
N03AA,"ТАТХИМФАРМПРЕПАРАТЫ АО, Российская Федерация",Barbiturates and derivatives,"таблетки 100мг в контурной ячейковой упаковке №10х5, №25х2",Barbiturates and derivatives,"https://rceth.by//NDfiles/instr/8888_09_14_19_p.pdf,https://rceth.by//NDfiles/instr/8888_09_14_19_s.pdf","ТАТХИМФАРМПРЕПАРАТЫ АО, Российская Федерация",8888/09/14/19,генерик,по рецепту,29.11.2019,,4 года,БЕНЗОНАЛ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Benzocaine,субстанция,Benzocaine,,"Changzhou Sunlight Pharmaceutical Co., Ltd., Китай",658/04/10/15/23,не определено,,28.12.2015,,3 года,БЕНЗОКАИН (АНЕСТЕЗИН),бессрочно
,"Фармтехнология ООО, Республика Беларусь",Benzocaine,субстанция,Benzocaine,,"Changzhou Sunlight Pharmaceutical Co., Ltd., Китай",1433/11/15/20,не определено,,13.10.2020,,3 года,БЕНЗОКАИН (АНЕСТЕЗИН),бессрочно
,"Рубикон ООО, Республика Беларусь",Benzocaine,субстанция,Benzocaine,,"Changzhou Sunlight Pharmaceutical Co., Ltd., Китай",1880/14/19,не определено,,12.11.2019,,3 года,БЕНЗОКАИН,бессрочно
D03AX03,"Bayer Consumer Care AG, Швейцария",Dexpanthenol,"мазь для  наружного  применения 50мг/г в тубах 3,5г, 30г, 100г в упаковке №1",Dexpanthenol,"https://rceth.by//NDfiles/instr/1218_95_02_06_11_17_p.pdf,https://rceth.by//NDfiles/instr/1218_95_02_06_11_17_s.pdf","Bayer Consumer Care AG, Швейцария  manufactured by  GP Grenzach Produktions GmbH, Германия",1218/95/02/06/11/17,генерик,без рецепта,13.01.2017,,3 года,БЕПАНТЕН,бессрочно
,"Фармтехнология ООО, Республика Беларусь",Benzocaine,субстанция,Benzocaine,,"APEX HEALTHCARE LIMITED, Индия",2718/22,не определено,,24.11.2022,,5 лет,БЕНЗОКАИН,бессрочно
C02BC,"Фармацевтическая компания Здоровье ООО, Украина",Bisquaternary ammonium compounds,"раствор для инъекций 25мг/мл в ампулах 1мл в блистерах в упаковке №5х1, №5х2, №10х1,раствор для инъекций 25мг/мл в ампулах 1мл в упаковке №10",Bisquaternary ammonium compounds,https://rceth.by//NDfiles/instr/6276_03_07_08_13_17_i.pdf,"Фармацевтическая компания Здоровье ООО, Украина",6276/03/07/08/13/17,генерик,по рецепту,27.11.2017,,4 года,БЕНЗОГЕКСОНИЙ-ЗДОРОВЬЕ,бессрочно
C09AA02,"Berlin-Chemie AG, Германия",Enalapril,"таблетки 10мг в блистерах в упаковке №10х3, №10х5, №10х10",Enalapril,"https://rceth.by//NDfiles/instr/5540_02_07_12_17_20_s.pdf,https://rceth.by//NDfiles/instr/5540_02_07_12_17_20_p.pdf","Berlin-Chemie AG, Германия",5540/02/07/12/17/20,генерик,по рецепту,25.09.2017,,3 года,БЕРЛИПРИЛ 10,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",,субстанция,,,"Herbert Brown Pharmaceutical & Research Laboratories, Индия",1842/14/20,генерик,,13.10.2020,,5 лет,БЕНЗИЛНИКОТИНАТ,бессрочно
P03AX01,"Фармацевтическая фабрика ООО ДКП, Украина",Benzyl benzoate,эмульсия для наружного применения 20% во флаконах 50г в упаковке №1,Benzyl benzoate,"https://rceth.by//NDfiles/instr/6512_03_05_08_13_19_p.pdf,https://rceth.by//NDfiles/instr/6512_03_05_08_13_19_s.pdf","Фармацевтическая фабрика ООО ДКП, Украина",6512/03/05/08/13/19,генерик,без рецепта,14.05.2019,,3 года,БЕНЗИЛБЕНЗОАТА ЭМУЛЬСИЯ,бессрочно
